Amazonas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75-79;11896;12192;12482;12797;13173;13627;14157;14774;15437;16094;16721;17336;17928;18564;19325;20259;21335;22562;23896;25264;26633;28030;29464;30940;32465;34042;35653;37289;38968;40698;42491;44350;46283;48249;50204;52129;54015;55845;57717;59790;62136;64726;67569;70546;73458;76180;78743;81161;83375;85348;87068
80-84;6834;7044;7276;7521;7757;7984;8207;8429;8673;8960;9299;9688;10142;10627;11110;11567;12023;12466;12943;13514;14205;14998;15901;16880;17881;18887;19915;20978;22073;23207;24377;25578;26797;28052;29346;30690;32084;33533;35010;36479;37925;39347;40732;42152;43726;45507;47469;49613;51852;54040;56090
85-89;3376;3391;3454;3547;3661;3780;3916;4066;4223;4373;4517;4664;4810;4973;5160;5380;5627;5915;6221;6524;6813;7106;7390;7698;8070;8512;9019;9592;10212;10843;11482;12133;12815;13515;14244;14993;15765;16550;17360;18197;19067;19970;20911;21869;22823;23762;24688;25594;26526;27563;28736
90+;1953;1990;2016;2037;2059;2082;2113;2162;2221;2292;2363;2442;2537;2639;2741;2841;2946;3058;3183;3319;3468;3631;3820;4021;4222;4423;4632;4849;5084;5353;5654;5991;6361;6761;7178;7612;8067;8555;9063;9593;10140;10708;11296;11907;12541;13199;13882;14594;15324;16061;16799
Mulheres;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Faixa/Ano;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050;2051;2052;2053;2054;2055;2056;2057;2058;2059;2060
Total;1763412;1796165;1829643;1863496;1898063;1932557;1965300;1997696;2030695;2063335;2095586;2127462;2158957;2190043;2220700;2250900;2280616;2309847;2338612;2366930;2394799;2422165;2448990;2475290;2501084;2526367;2551098;2575245;2598803;2621771;2644147;2665911;2687041;2707524;2727352;2746516;2765006;2782810;2799903;2816260;2831870;2846741;2860873;2874240;2886821;2898607;2909606;2919830;2929267;2937907;2945748
0-4;196099;195794;196074;196508;197519;199451;200134;199799;199745;198671;197336;197425;197536;196693;195835;194968;194048;193087;192133;191219;190370;189555;188728;187883;187027;186158;185298;184459;183626;182776;181913;181060;180228;179411;178593;177768;176943;176127;175300;174442;173556;172654;171744;170827;169904;168972;168027;167076;166126;165186;164263
05/set;190437;189293;189797;191511;194339;195479;195195;195489;195936;196959;198897;199599;199280;199238;198178;196855;196958;197081;196248;195400;194545;193637;192684;191741;190838;189996;189189;188371;187532;186684;185823;184969;184137;183307;182465;181606;180763;179933;179118;178308;177487;176667;175854;175032;174176;173294;172396;171489;170577;169658;168728
out/14;199718;200297;198589;195603;192086;190174;189040;189549;191268;194097;195244;194964;195263;195717;196744;198683;199388;199072;199034;197981;196664;196769;196899;196071;195228;194378;193476;192527;191591;190692;189855;189053;188239;187406;186559;185704;184850;184023;183197;182359;181501;180661;179835;179021;178216;177395;176577;175766;174946;174093;173216
15-19;184355;187972;192037;195931;198715;199839;200417;198717;195740;192235;190329;189200;189711;191422;194243;195386;195104;195400;195849;196872;198801;199503;199188;199154;198110;196804;196914;197050;196228;195394;194551;193655;192712;191784;190891;190059;189264;188456;187627;186785;185936;185085;184262;183442;182606;181753;180916;180096;179284;178482;177663
20-24;171587;173871;176392;179178;182244;185547;189137;193175;197040;199799;200904;201464;199753;196773;193262;191347;190202;190693;192379;195168;196289;195991;196275;196722;197746;199676;200386;200080;200053;199021;197723;197840;197984;197169;196343;195509;194621;193685;192767;191879;191053;190264;189461;188638;187802;186959;186113;185294;184479;183649;182800
25-29;164202;166361;167923;169194;170641;172564;174831;177328;180092;183132;186407;189969;193975;197809;200543;201629;202175;200459;197479;193972;192051;190899;191379;193053;195829;196953;196667;196966;197425;198456;200391;201108;200810;200792;199772;198489;198613;198763;197959;197145;196322;195444;194517;193606;192727;191908;191130;190333;189519;188688;187851
30-34;144843;149379;153621;157464;160775;163501;165665;167239;168519;169975;171905;174173;176669;179430;182465;185733;189289;193282;197108;199834;200925;201481;199788;196839;193366;191473;190344;190837;192518;195293;196427;196156;196467;196936;197978;199916;200639;200354;200346;199340;198076;198208;198367;197575;196773;195960;195091;194177;193276;192406;191599
35-39;117520;122571;127883;133276;138488;143339;147862;152092;155933;159243;161973;164149;165743;167042;168516;170461;172737;175238;178001;181041;184309;187861;191849;195669;198396;199501;200076;198413;195507;192076;190214;189111;189621;191310;194081;195219;194964;195288;195768;196819;198755;199484;199211;199215;198225;196980;197119;197283;196504;195720;194917
40-44;94993;98794;102789;107008;111496;116258;121274;126551;131906;137089;141915;146416;150624;154453;157756;160485;162665;164273;165581;167061;169011;171288;173791;176550;179587;182850;186390;190368;194175;196898;198014;198604;196972;194104;190720;188890;187812;188332;190021;192785;193927;193686;194020;194508;195563;197496;198229;197965;197979;197003;195775
45-49;78214;80999;83850;86836;90056;93574;97339;101296;105479;109920;114640;119608;124834;130136;135271;140053;144519;148695;152502;155785;158501;160678;162287;163607;165095;167047;169325;171819;174569;177595;180844;184367;188320;192104;194810;195929;196531;194930;192112;188779;186987;185943;186478;188166;190909;192048;191819;192163;192659;193717;195643
50-54;63018;65651;68299;70964;73645;76345;79097;81914;84861;88045;91513;95225;99129;103253;107632;112286;117183;122334;127559;132626;137346;141757;145887;149654;152908;155606;157774;159389;160715;162208;164155;166424;168901;171633;174636;177856;181340;185254;188998;191681;192799;193412;191855;189100;185842;184096;183090;183637;185314;188028;189160
55-59;48480;50818;53219;55673;58171;60715;63287;65880;68492;71117;73766;76465;79227;82119;85241;88639;92274;96094;100131;104419;108975;113767;118807;123921;128882;133507;137835;141890;145591;148795;151456;153601;155211;156538;158030;159964;162213;164661;167355;170313;173485;176912;180760;184436;187073;188181;188801;187299;184630;181467;179787
60-64;35480;37306;39300;41420;43607;45819;48077;50395;52767;55182;57643;60132;62647;65179;67725;70297;72915;75601;78408;81437;84733;88256;91959;95870;100025;104439;109080;113959;118916;123722;128207;132409;136351;139954;143077;145678;147780;149370;150688;152166;154069;156275;158670;161301;164187;167280;170618;174359;177932;180500;181591
65-69;26333;27359;28454;29661;31030;32592;34320;36207;38212;40281;42377;44521;46719;48975;51269;53609;55981;58374;60791;63220;65672;68175;70741;73423;76315;79461;82818;86349;90074;94032;98240;102658;107305;112024;116599;120872;124883;128649;132097;135088;137583;139610;141152;142443;143886;145734;147867;150173;152700;155472;158437
70-74;19145;19850;20597;21382;22218;23105;24058;25076;26191;27458;28894;30480;32213;34053;35953;37880;39853;41879;43958;46076;48240;50432;52646;54885;57139;59412;61738;64121;66610;69297;72212;75325;78595;82041;85706;89603;93694;97992;102356;106589;110548;114264;117764;120971;123759;126086;127984;129443;130677;132050;133799
75-79;13103;13579;14088;14631;15199;15796;16428;17092;17794;18539;19329;20175;21077;22064;23185;24448;25843;27366;28980;30648;32343;34080;35868;37705;39578;41492;43432;45392;47383;49383;51403;53472;55591;57807;60201;62791;65554;68457;71514;74766;78225;81856;85665;89532;93281;96793;100093;103208;106065;108554;110634
80-84;8155;8408;8694;9013;9359;9732;10129;10556;11008;11480;11975;12499;13051;13634;14252;14905;15602;16348;17161;18085;19120;20262;21507;22825;24188;25576;27001;28471;29982;31525;33101;34701;36322;37969;39624;41297;43013;44773;46614;48603;50752;53042;55445;57974;60669;63532;66537;69688;72882;75978;78877
85-89;4550;4613;4715;4847;5002;5177;5369;5589;5830;6091;6368;6662;6980;7313;7663;8031;8418;8825;9260;9718;10200;10713;11266;11867;12548;13308;14147;15058;16023;17021;18040;19087;20169;21285;22424;23590;24774;25976;27201;28431;29675;30953;32267;33643;35126;36731;38438;40225;42103;44108;46242
90+;3180;3250;3322;3396;3473;3550;3641;3752;3882;4022;4171;4336;4526;4740;4967;5205;5462;5746;6050;6368;6704;7061;7441;7851;8279;8730;9208;9726;10285;10903;11578;12311;13106;13950;14843;15776;16755;17787;18865;19982;21134;22321;23546;24810;26097;27409;28761;30156;31615;33148;34766
Brasil;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dados;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ano;População total;Homens;Mulheres;Nascimentos;Óbitos;Taxa de Crescimento Geométrico;Taxa Bruta de Natalidade;Taxa Bruta de Mortalidade;Esperança de Vida ao Nascer;Esperança de Vida ao Nascer - Homens;Esperança de Vida ao Nascer - Mulheres;Taxa de Mortalidade Infantil;Taxa de Mortalidade Infantil - Homens;Taxa de Mortalidade Infantil - Mulheres;Taxa de Fecundidade Total;Taxa de Fecundidade Total;Razão de Dependência - Jovens 0 a 14 anos;Razão de Dependência - Idosos 65 ou mais anos;Razão de Dependência;Índice de Envelhecimento;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2010;194890682;95513298;99377384;2939435;1240083;x;15.08;6.36;73.86;70.21;77.6;17.22;18.76;15.59;1.75;36.32;10.77;47.09;29.55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011;196603732;96322635;100281097;2974525;1247751;0.88;15.13;6.35;74.2;70.57;77.91;16.43;17.86;14.92;1.76;35.37;10.99;46.36;30.99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012;198314934;97132054;101182880;2953890;1258235;0.87;14.89;6.34;74.52;70.91;78.22;15.69;17.03;14.29;1.75;34.45;11.24;45.68;32.63;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;200004188;97931331;102072857;2953178;1270306;0.85;14.77;6.35;74.84;71.25;78.51;15.02;16.27;13.7;1.74;33.56;11.51;45.07;34.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014;201717541;98744098;102973443;3028202;1284346;0.86;15.01;6.37;75.14;71.57;78.78;14.4;15.58;13.16;1.78;32.78;11.81;44.59;36.12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;203475683;99581002;103894681;3070979;1299541;0.87;15.09;6.39;75.44;71.88;79.05;13.82;14.93;12.65;1.8;32.15;12.13;44.29;37.67;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016;205156587;100379640;104776947;2901053;1314164;0.83;14.14;6.41;75.72;72.18;79.31;13.29;14.35;12.19;1.7;31.57;12.49;44.05;39.73;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017;206804741;101163599;105641142;3020743;1330811;0.8;14.61;6.44;75.99;72.46;79.56;12.81;13.8;11.75;1.78;31.11;12.87;43.98;41.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2018;208494900;101971173;106523727;3003585;1349693;0.82;14.41;6.47;76.25;72.74;79.8;12.35;13.31;11.35;1.77;30.75;13.28;44.03;43.19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019;210147125;102760295;107386830;2984414;1368954;0.79;14.2;6.51;76.5;73;80.03;11.94;12.85;10.98;1.77;30.42;13.72;44.14;45.02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;211755692;103527689;108228003;2963516;1389144;0.77;13.99;6.56;76.74;73.26;80.25;11.56;12.43;10.64;1.76;30.11;14.18;44.29;46.89;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;213317639;104271843;109045796;2940629;1410602;0.74;13.79;6.61;76.97;73.5;80.46;11.2;12.04;10.32;1.76;29.83;14.67;44.5;49.51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2022;214828540;104990487;109838053;2913688;1433605;0.71;13.56;6.67;77.19;73.74;80.67;10.88;11.68;10.03;1.75;29.63;15.19;44.82;51.22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023;216284269;105681529;110602740;2885501;1458023;0.68;13.34;6.74;77.4;73.96;80.86;10.58;11.36;9.75;1.75;29.43;15.74;45.17;53.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024;217684462;106345043;111339419;2856690;1483777;0.65;13.12;6.82;77.6;74.17;81.05;10.3;11.05;9.5;1.74;29.26;16.31;45.56;55.72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2025;219029093;106981304;112047789;2827039;1510693;0.62;12.91;6.9;77.8;74.38;81.22;10.04;10.77;9.27;1.74;29.11;16.9;46.01;58.29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2026;220316530;107589495;112727035;2797674;1539159;0.59;12.7;6.99;77.98;74.57;81.39;9.8;10.51;9.05;1.74;28.95;17.51;46.45;60.61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2027;221545234;108168830;113376404;2768000;1569117;0.56;12.49;7.08;78.16;74.76;81.56;9.58;10.27;8.85;1.73;28.77;18.14;46.9;62.76;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2028;222713669;108718587;113995082;2738355;1600375;0.53;12.3;7.19;78.32;74.94;81.71;9.37;10.05;8.66;1.73;28.59;18.78;47.37;65.46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2029;223821305;109238514;114582791;2710134;1632845;0.5;12.11;7.3;78.49;75.11;81.86;9.18;9.84;8.49;1.72;28.36;19.42;47.79;68.23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2030;224868462;109728762;115139700;2683440;1666427;0.47;11.93;7.41;78.64;75.28;82;9.01;9.65;8.33;1.72;28.08;20.06;48.14;71.05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2031;225854415;110189007;115665408;2655850;1700970;0.44;11.76;7.53;78.78;75.43;82.14;8.85;9.48;8.18;1.72;27.84;20.71;48.55;74.33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2032;226777802;110618592;116159210;2628742;1736861;0.41;11.59;7.66;78.92;75.58;82.27;8.7;9.32;8.05;1.72;27.61;21.36;48.97;77.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2033;227638581;111017537;116621044;2603540;1773877;0.38;11.44;7.79;79.05;75.72;82.39;8.57;9.18;7.92;1.71;27.32;22.01;49.33;80.33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2034;228437122;111386062;117051060;2579544;1812136;0.35;11.29;7.93;79.18;75.86;82.51;8.44;9.04;7.81;1.71;27.04;22.65;49.69;83.43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2035;229173685;111724392;117449293;2557147;1851454;0.32;11.16;8.08;79.3;75.99;82.62;8.32;8.92;7.7;1.71;26.76;23.28;50.04;87.08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2036;229847832;112032426;117815406;2534413;1891832;0.29;11.03;8.23;79.42;76.11;82.73;8.22;8.8;7.6;1.7;26.48;23.9;50.39;90.34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2037;230459062;112309958;118149104;2513030;1933167;0.27;10.9;8.39;79.53;76.23;82.83;8.12;8.69;7.51;1.7;26.22;24.52;50.74;93.68;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2038;231007871;112557327;118450544;2493021;1975283;0.24;10.79;8.55;79.63;76.34;82.93;8.02;8.59;7.42;1.7;25.97;25.13;51.1;96.51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2039;231494650;112774820;118719830;2473758;2017958;0.21;10.69;8.72;79.73;76.45;83.02;7.93;8.49;7.34;1.7;25.74;25.77;51.52;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2040;231919922;112962751;118957171;2455519;2060782;0.18;10.59;8.89;79.83;76.55;83.11;7.85;8.4;7.27;1.69;25.54;26.46;51.99;103.57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2041;232284233;113121438;119162795;2437785;2103915;0.16;10.49;9.06;79.92;76.65;83.2;7.77;8.32;7.2;1.69;25.35;27.18;52.53;107.23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2042;232588580;113251454;119337126;2422219;2147419;0.13;10.41;9.23;80;76.74;83.28;7.7;8.24;7.13;1.69;25.19;27.93;53.13;110.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2043;232834065;113353443;119480622;2407325;2191168;0.11;10.34;9.41;80.09;76.83;83.36;7.63;8.16;7.06;1.69;25.06;28.73;53.78;114.72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2044;233020996;113427597;119593399;2392409;2234730;0.08;10.27;9.59;80.17;76.92;83.43;7.56;8.09;7;1.69;24.94;29.55;54.49;118.63;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2045;233149625;113474061;119675564;2377677;2278119;0.06;10.2;9.77;80.24;77;83.5;7.5;8.02;6.95;1.68;24.85;30.4;55.25;122.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2046;233220257;113493052;119727205;2363150;2321466;0.03;10.13;9.95;80.31;77.08;83.57;7.44;7.96;6.9;1.68;24.77;31.27;56.04;125.79;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2047;233233670;113485011;119748659;2349527;2364398;0.01;10.07;10.14;80.38;77.16;83.63;7.39;7.9;6.84;1.68;24.72;32.17;56.89;129.75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2048;233190482;113450253;119740229;2335541;2407046;-0.02;10.02;10.32;80.45;77.23;83.7;7.33;7.84;6.8;1.68;24.68;33.08;57.76;134.62;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2049;233090464;113388652;119701812;2320604;2449148;-0.04;9.96;10.51;80.51;77.3;83.75;7.29;7.79;6.75;1.68;24.66;33.99;58.64;138.06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2050;232933276;113300060;119633216;2304717;2490559;-0.07;9.89;10.69;80.57;77.37;83.81;7.24;7.74;6.71;1.68;24.64;34.88;59.52;142.21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2051;232719169;113184593;119534576;2288973;2531362;-0.09;9.84;10.88;80.63;77.43;83.86;7.2;7.69;6.67;1.67;24.63;35.76;60.38;144.81;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2052;232448867;113042592;119406275;2273127;2571362;-0.12;9.78;11.06;80.68;77.49;83.91;7.16;7.65;6.64;1.67;24.62;36.62;61.24;148.37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2053;232122448;112874076;119248372;2255972;2610595;-0.14;9.72;11.25;80.74;77.55;83.96;7.12;7.61;6.6;1.67;24.62;37.45;62.07;151.97;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2054;231739632;112678873;119060759;2237804;2648830;-0.16;9.66;11.43;80.78;77.61;84;7.08;7.57;6.57;1.67;24.62;38.26;62.89;155.63;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2055;231300323;112456873;118843450;2218450;2686056;-0.19;9.59;11.61;80.83;77.66;84.04;7.05;7.54;6.54;1.67;24.63;39.05;63.68;159.33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2056;230805223;112208379;118596844;2199622;2722232;-0.21;9.53;11.79;80.88;77.71;84.08;7.02;7.5;6.51;1.67;24.63;39.81;64.43;161.33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2057;230255685;111934042;118321643;2180831;2757317;-0.24;9.47;11.98;80.92;77.76;84.12;6.99;7.47;6.48;1.66;24.62;40.52;65.15;164.43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2058;229652286;111634119;118018167;2161015;2791329;-0.26;9.41;12.15;80.96;77.81;84.16;6.96;7.44;6.46;1.66;24.62;41.22;65.84;168.24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2059;228995541;111308845;117686696;2141033;2824224;-0.29;9.35;12.33;81;77.86;84.19;6.94;7.41;6.44;1.66;24.61;41.91;66.53;170.27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2060;228286347;110958642;117327705;2120842;2856059;-0.31;9.29;12.51;81.04;77.9;84.23;6.91;7.39;6.42;1.66;24.61;42.62;67.23;173.47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Faixas etárias;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Total;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Faixa/Ano;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050;2051;2052;2053;2054;2055;2056;2057;2058;2059;2060
Total;194890682;196603732;198314934;200004188;201717541;203475683;205156587;206804741;208494900;210147125;211755692;213317639;214828540;216284269;217684462;219029093;220316530;221545234;222713669;223821305;224868462;225854415;226777802;227638581;228437122;229173685;229847832;230459062;231007871;231494650;231919922;232284233;232588580;232834065;233020996;233149625;233220257;233233670;233190482;233090464;232933276;232719169;232448867;232122448;231739632;231300323;230805223;230255685;229652286;228995541;228286347
0-4;14858280;14697433;14624301;14567170;14570070;14677159;14715112;14720776;14787557;14798332;14730311;14703281;14675523;14569055;14452355;14326234;14192256;14053426;13912226;13770272;13629815;13491399;13354905;13221642;13092489;12967369;12846604;12730937;12620549;12514918;12413588;12316709;12225086;12138798;12057106;11979238;11904624;11832490;11761709;11691308;11620256;11547982;11473958;11397201;11317212;11233863;11147191;11057520;10965028;10870292;10774218
05/set;15865195;15600504;15387507;15203145;15029641;14824271;14664918;14593299;14537829;14542132;14650311;14689394;14695773;14762671;14773628;14705941;14679311;14652033;14546208;14430226;14304778;14171490;14033278;13892710;13751331;13611405;13473529;13337523;13204728;13076037;12951361;12830995;12715703;12605672;12500387;12399373;12302790;12211456;12125433;12043993;11966376;11891973;11820071;11749531;11679356;11608504;11536459;11462615;11386046;11306224;11223031
out/14;17397304;17216843;16880174;16495325;16131984;15840860;15577214;15365237;15182024;15009676;14805478;14647164;14576191;14520972;14525347;14633526;14672711;14679300;14746432;14757724;14690423;14664114;14637176;14531700;14416109;14291049;14158125;14020272;13880038;13738984;13599376;13461829;13326122;13193611;13065182;12940762;12820626;12705545;12595720;12490655;12389855;12293466;12202305;12116445;12035156;11957694;11883455;11811703;11741278;11671246;11600532
15-19;17219086;17238401;17315601;17402809;17424089;17334096;17155615;16821630;16439846;16079464;15790863;15529387;15318916;15136923;14965724;14762869;14605891;14536019;14481942;14487286;14596110;14635967;14643187;14710785;14722659;14656163;14630405;14603997;14499263;14384409;14260078;14127872;13990752;13851207;13710840;13571863;13434947;13299846;13167907;13040010;12916108;12796510;12681921;12572557;12467934;12367551;12271531;12180736;12095228;12014265;11937109
20-24;17476779;17396868;17296030;17195219;17124785;17100769;17122881;17203520;17294780;17319853;17233266;17057794;16726717;16347561;15989803;15703800;15444924;15236871;15057313;14888503;14688175;14533531;14465563;14413260;14420025;14529708;14570602;14578856;14647162;14659931;14594614;14569782;14544238;14440723;14327061;14203946;14072906;13936948;13798559;13659314;13521425;13385549;13251456;13120499;12993545;12870528;12751775;12637977;12529386;12425516;12325847
25-29;17334110;17423848;17454135;17436877;17391346;17331851;17256322;17161679;17068593;17004904;16985866;17011218;17092427;17182193;17206153;17119972;16946247;16618500;16243415;15889766;15607291;15351552;15146240;14969263;14802897;14605190;14452983;14386955;14336521;14344709;14455193;14497153;14506501;14575436;14589082;14524961;14501063;14476422;14374170;14261783;14139942;14010163;13875462;13738287;13600246;13463536;13328803;13195813;13065893;12939931;12817887
30-34;15955949;16275019;16567575;16822855;17028854;17178656;17271648;17306947;17296659;17258318;17205416;17135646;17044190;16951251;16886952;16867543;16892885;16974395;17065211;17091062;17007393;16836728;16512899;16141856;15792033;15512843;15259983;15057188;14882572;14718488;14523256;14373318;14309113;14260407;14269902;14381026;14423898;14434174;14503630;14518027;14455019;14431957;14408126;14307058;14195853;14075191;13946610;13813084;13677088;13540196;13404578
35-39;14075108;14350827;14689558;15066579;15441748;15787821;16107943;16402815;16661965;16872342;17026545;17123723;17161844;17152616;17115112;17063584;16995707;16906691;16816670;16755274;16738294;16765601;16848588;16940702;16968189;16886844;16719129;16399166;16032170;15686230;15410325;15160396;14960090;14787787;14625966;14433207;14285523;14223058;14175984;14186704;14298311;14341981;14353071;14422945;14437977;14376076;14353778;14330671;14230768;14120755;14001307
