Bahia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dados;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ano;População total;Homens;Mulheres;Nascimentos;Óbitos;Taxa de Crescimento Geométrico;Taxa Bruta de Natalidade;Taxa Bruta de Mortalidade;Esperança de Vida ao Nascer;Esperança de Vida ao Nascer - Homens;Esperança de Vida ao Nascer - Mulheres;Taxa de Mortalidade Infantil;Taxa de Mortalidade Infantil - Homens;Taxa de Mortalidade Infantil - Mulheres;Taxa de Fecundidade Total;Razão de Dependência - Jovens 0 a 14 anos;Razão de Dependência - Idosos 65 ou mais anos;Razão de Dependência;Índice de Envelhecimento;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2010;14302571;7022509;7280062;220513;100241;x;15.42;7.01;71.92;67.72;76.43;23.13;24.9;21.26;1.73;39.12;10.78;49.89;27.59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011;14372994;7049709;7323285;219311;100361;0.49;15.26;6.98;72.2;67.95;76.75;21.95;23.5;20.31;1.72;37.99;10.94;48.93;28.63;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012;14441531;7075846;7365685;215812;100801;0.48;14.94;6.98;72.47;68.17;77.06;20.87;22.22;19.43;1.69;36.87;11.12;48;30.12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;14505033;7099339;7405694;208757;101360;0.44;14.39;6.99;72.73;68.4;77.36;19.86;21.05;18.62;1.63;35.75;11.33;47.08;31.69;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014;14565807;7121398;7444409;210147;102078;0.42;14.43;7.01;72.99;68.62;77.65;18.95;19.99;17.86;1.65;34.69;11.55;46.24;33.33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;14629018;7144691;7484327;213747;102965;0.43;14.61;7.04;73.23;68.83;77.92;18.11;19.02;17.15;1.68;33.77;11.78;45.55;34.91;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016;14689684;7166690;7522994;205329;103835;0.41;13.98;7.07;73.47;69.04;78.18;17.35;18.14;16.51;1.62;32.96;12.04;45;36.56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017;14749868;7188472;7561396;213140;104810;0.41;14.45;7.11;73.71;69.25;78.43;16.64;17.35;15.91;1.69;32.26;12.31;44.57;38.12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2018;14812617;7211608;7601009;211097;105960;0.43;14.25;7.15;73.93;69.46;78.67;16.01;16.63;15.36;1.69;31.63;12.6;44.23;39.73;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019;14872858;7233509;7639349;208921;107095;0.41;14.05;7.2;74.15;69.66;78.9;15.43;15.97;14.85;1.68;31.05;12.92;43.97;41.67;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;14930424;7254101;7676323;206595;108295;0.39;13.84;7.25;74.36;69.86;79.11;14.89;15.38;14.38;1.68;30.52;13.28;43.8;43.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;14985070;7273278;7711792;204045;109546;0.37;13.62;7.31;74.57;70.05;79.32;14.42;14.84;13.96;1.67;30.08;13.67;43.75;45.45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2022;15036517;7290913;7745604;201332;110914;0.34;13.39;7.38;74.76;70.24;79.52;13.98;14.36;13.57;1.67;29.7;14.09;43.8;47.34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023;15084600;7306926;7777674;198653;112371;0.32;13.17;7.45;74.96;70.43;79.7;13.57;13.92;13.21;1.66;29.34;14.55;43.89;49.51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024;15129225;7321284;7807941;195945;113928;0.3;12.95;7.53;75.14;70.61;79.88;13.21;13.52;12.88;1.66;29;15.02;44.02;51.74;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2025;15170253;7333933;7836320;193138;115538;0.27;12.73;7.62;75.32;70.79;80.05;12.88;13.16;12.58;1.66;28.71;15.52;44.23;54.27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2026;15207525;7344806;7862719;190264;117247;0.25;12.51;7.71;75.49;70.97;80.21;12.58;12.84;12.31;1.65;28.46;16.04;44.5;56.35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2027;15240909;7353839;7887070;187395;119055;0.22;12.3;7.81;75.66;71.14;80.36;12.31;12.55;12.07;1.65;28.21;16.57;44.78;58.46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2028;15270303;7361000;7909303;184504;120954;0.19;12.08;7.92;75.82;71.31;80.51;12.07;12.28;11.84;1.65;28;17.13;45.13;61.14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2029;15295642;7366269;7929373;181638;122895;0.17;11.88;8.03;75.98;71.48;80.65;11.85;12.04;11.63;1.64;27.8;17.72;45.52;63.87;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2030;15316952;7369659;7947293;178899;124894;0.14;11.68;8.15;76.13;71.64;80.78;11.64;11.83;11.45;1.64;27.55;18.32;45.88;66.67;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2031;15333879;7370991;7962888;176170;126938;0.11;11.49;8.28;76.28;71.8;80.9;11.46;11.63;11.28;1.64;27.32;18.96;46.28;69.52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2032;15346028;7370061;7975967;173509;129060;0.08;11.31;8.41;76.41;71.96;81.02;11.3;11.46;11.12;1.64;27.07;19.63;46.69;72.43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2033;15353402;7366879;7986523;170934;131250;0.05;11.13;8.55;76.55;72.11;81.13;11.15;11.3;10.98;1.64;26.76;20.3;47.07;75.82;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2034;15355998;7361457;7994541;168384;133491;0.02;10.97;8.69;76.68;72.26;81.23;11.01;11.16;10.86;1.64;26.46;20.99;47.44;79.33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2035;15353814;7353803;8000011;165939;135816;-0.01;10.81;8.85;76.81;72.4;81.33;10.89;11.03;10.74;1.63;26.16;21.66;47.82;83.05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2036;15346869;7343940;8002929;163567;138196;-0.05;10.66;9;76.93;72.55;81.43;10.78;10.91;10.64;1.63;25.86;22.33;48.19;86.78;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2037;15335177;7331886;8003291;161268;140638;-0.08;10.52;9.17;77.05;72.69;81.52;10.68;10.81;10.54;1.63;25.57;23;48.57;90.12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2038;15318735;7317652;8001083;158990;143120;-0.11;10.38;9.34;77.16;72.82;81.6;10.59;10.71;10.46;1.63;25.29;23.68;48.98;93.53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2039;15297524;7301245;7996279;156752;145661;-0.14;10.25;9.52;77.27;72.96;81.68;10.51;10.63;10.38;1.63;25.04;24.42;49.46;97.02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2040;15271580;7282689;7988891;154615;148210;-0.17;10.12;9.7;77.37;73.09;81.76;10.43;10.55;10.31;1.63;24.81;25.23;50.04;101.82;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2041;15241004;7262041;7978963;152605;150777;-0.2;10.01;9.89;77.48;73.22;81.83;10.36;10.48;10.24;1.63;24.6;26.11;50.72;106.13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2042;15205888;7239362;7966526;150685;153361;-0.23;9.91;10.09;77.58;73.34;81.9;10.3;10.42;10.19;1.63;24.43;27.06;51.49;111.18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2043;15166238;7214668;7951570;148755;155995;-0.26;9.81;10.29;77.68;73.46;81.96;10.25;10.36;10.13;1.63;24.27;28.08;52.36;115.72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2044;15122024;7187956;7934068;146859;158664;-0.29;9.71;10.49;77.77;73.58;82.02;10.2;10.31;10.09;1.63;24.15;29.16;53.31;120.25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2045;15073291;7159256;7914035;145027;161304;-0.32;9.62;10.7;77.87;73.7;82.08;10.16;10.26;10.04;1.63;24.05;30.29;54.33;125.64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2046;15020105;7128614;7891491;143298;164008;-0.35;9.54;10.92;77.95;73.81;82.13;10.12;10.22;10;1.62;23.96;31.47;55.43;131.17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2047;14962522;7096070;7866452;141610;166682;-0.38;9.46;11.14;78.03;73.92;82.18;10.08;10.18;9.97;1.62;23.91;32.69;56.6;136.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2048;14900565;7061642;7838923;139908;169365;-0.41;9.39;11.37;78.11;74.03;82.23;10.05;10.15;9.94;1.62;23.86;33.94;57.81;142.38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2049;14834243;7025342;7808901;138222;172026;-0.45;9.32;11.6;78.19;74.13;82.28;10.02;10.12;9.91;1.62;23.83;35.18;59.01;147.33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2050;14763590;6987193;7776397;136521;174640;-0.48;9.25;11.83;78.27;74.24;82.32;9.99;10.09;9.88;1.62;23.81;36.38;60.19;152.35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2051;14688641;6947213;7741428;134834;177230;-0.51;9.18;12.07;78.34;74.34;82.36;9.97;10.07;9.86;1.62;23.78;37.53;61.31;158.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2052;14609436;6905426;7704010;133126;179757;-0.54;9.11;12.3;78.41;74.43;82.4;9.95;10.04;9.84;1.62;23.76;38.61;62.37;163.01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2053;14525993;6861847;7664146;131369;182240;-0.57;9.04;12.55;78.48;74.53;82.44;9.93;10.02;9.82;1.62;23.73;39.64;63.38;167.59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2054;14438328;6816485;7621843;129613;184689;-0.6;8.98;12.79;78.54;74.62;82.47;9.91;10.01;9.8;1.62;23.71;40.64;64.35;171.53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2055;14346461;6769359;7577102;127805;187078;-0.64;8.91;13.04;78.61;74.71;82.5;9.89;9.99;9.78;1.62;23.7;41.62;65.32;176.22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2056;14250434;6720496;7529938;126013;189410;-0.67;8.84;13.29;78.67;74.8;82.53;9.88;9.97;9.77;1.62;23.69;42.59;66.28;180.28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2057;14150307;6669933;7480374;124201;191676;-0.7;8.78;13.55;78.73;74.88;82.56;9.86;9.96;9.76;1.62;23.69;43.55;67.24;183.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2058;14046125;6617708;7428417;122342;193846;-0.74;8.71;13.8;78.79;74.97;82.59;9.85;9.95;9.74;1.62;23.69;44.51;68.2;187.94;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2059;13937968;6563854;7374114;120494;195918;-0.77;8.65;14.06;78.84;75.05;82.61;9.84;9.94;9.73;1.62;23.7;45.48;69.18;192.14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2060;13825958;6508424;7317534;118648;197860;-0.8;8.58;14.31;78.89;75.13;82.64;9.83;9.93;9.72;1.62;23.71;46.47;70.18;196.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Faixas etárias;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Total;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Faixa/Ano;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050;2051;2052;2053;2054;2055;2056;2057;2058;2059;2060
Total;14302571;14372994;14441531;14505033;14565807;14629018;14689684;14749868;14812617;14872858;14930424;14985070;15036517;15084600;15129225;15170253;15207525;15240909;15270303;15295642;15316952;15333879;15346028;15353402;15355998;15353814;15346869;15335177;15318735;15297524;15271580;15241004;15205888;15166238;15122024;15073291;15020105;14962522;14900565;14834243;14763590;14688641;14609436;14525993;14438328;14346461;14250434;14150307;14046125;13937968;13825958
0-4;1133644;1112087;1094480;1073869;1054118;1043168;1034135;1027006;1027843;1029247;1025876;1022444;1016648;1005282;993323;980815;967862;954629;941171;927492;913743;900051;886482;873126;860049;847247;834752;822596;810749;799190;787928;776990;766411;756181;746284;736703;727405;718355;709526;700912;692461;684095;675731;667332;658867;650314;641655;632887;624020;615050;606018
05/set;1240699;1215926;1192576;1168575;1145479;1121187;1099919;1082580;1062241;1042741;1032020;1023216;1016300;1017337;1018939;1015770;1012543;1006951;995794;984044;971739;958977;945902;932577;918999;905318;891673;878147;864836;851804;839041;826582;814459;802645;791119;779890;768987;758436;748231;738362;728805;719522;710499;701692;693097;684666;676322;667981;659597;651153;642615
out/14;1357988;1338668;1311121;1283506;1255915;1229773;1205224;1182092;1158306;1135423;1111347;1090279;1073132;1052995;1033697;1023159;1014530;1007783;1008979;1010736;1007727;1004647;999180;988126;976458;964203;951475;938438;925151;911606;897961;884345;870853;857574;844571;831834;819398;807303;795522;784019;772812;761933;751400;741209;731357;721818;712552;703550;694761;686186;677769
15-19;1345539;1343091;1342988;1342760;1338738;1328753;1309957;1282991;1255975;1228991;1203434;1179443;1156840;1133602;1111262;1087727;1067180;1050530;1030903;1012108;1002038;993804;987357;988734;990596;987670;984649;979247;968288;956714;944548;931915;918971;905772;892312;878754;865223;851810;838606;825682;813019;800655;788625;776908;765465;754311;743489;733011;722874;713073;703586
20-24;1322304;1304650;1292033;1283796;1278541;1275182;1273827;1274790;1275636;1272713;1263882;1246323;1220670;1194961;1169281;1145005;1122257;1100875;1078863;1057738;1035418;1015931;1000078;981074;962730;952909;944843;938551;940015;941960;939145;936229;930945;920147;908726;896717;884241;871452;858403;845093;831681;818291;805016;791945;779151;766612;754365;742445;730835;719501;708451
25-29;1326865;1321216;1306170;1285026;1262982;1243347;1227105;1215830;1208879;1204870;1202728;1202565;1204692;1206699;1204975;1197407;1181200;1156971;1132677;1108404;1085506;1064031;1043733;1022609;1002148;980276;961083;945478;926750;908657;899019;891115;884970;886517;888539;885834;883031;877863;867222;855962;844114;831792;819161;806267;793107;779844;766601;753466;740533;727872;715459
30-34;1186928;1215159;1240014;1259744;1272113;1275927;1271149;1257080;1236983;1215977;1197342;1182053;1171652;1165519;1162284;1160883;1161431;1164247;1166941;1165940;1159152;1143773;1120367;1096790;1073105;1050639;1029494;1009504;988692;968528;946952;928028;912650;894175;876326;866861;859107;853099;854717;856799;854187;851478;846416;835921;824807;813105;800931;788447;775698;762678;749557
35-39;995861;1021310;1053243;1088993;1124196;1155873;1184217;1209244;1229213;1241930;1246201;1241976;1228573;1209201;1188924;1170976;1156314;1146468;1140820;1138025;1137040;1137968;1141098;1144067;1143324;1136795;1121731;1098714;1075519;1052214;1030096;1009269;989582;969073;949203;927932;909278;894126;875902;858296;848997;841387;835504;837181;839314;836790;834169;829208;818855;807888;796330
40-44;916044;927812;935285;941917;953081;971943;997368;1029168;1064730;1099767;1131342;1159650;1184702;1204778;1217701;1222291;1218504;1205656;1186915;1167267;1149903;1135756;1126324;1120998;1118460;1117672;1118750;1122001;1125090;1124503;1118192;1103439;1080825;1058033;1035128;1013384;992897;973528;953352;933798;912847;894473;879567;861616;844269;835146;827685;821935;823663;825835;823397
45-49;791698;811666;833285;854959;874157;889565;901458;909164;916062;927407;946298;971615;1003175;1038410;1073136;1104487;1132641;1157610;1177703;1190776;1195645;1192280;1179992;1161892;1142875;1126075;1112410;1103356;1098325;1096021;1095429;1096663;1100030;1103232;1102801;1096722;1082323;1060184;1037882;1015476;994202;974138;955149;935374;916213;895664;877641;863032;845417;828398;819491
50-54;672865;691847;709418;726299;743713;762335;782099;803480;824918;843958;859318;871278;879186;886325;897797;916613;941682;972814;1007510;1041714;1072651;1100472;1125196;1145164;1158262;1163333;1160353;1148657;1131279;1113000;1096875;1083800;1075204;1070513;1068472;1068089;1069481;1072958;1076264;1075993;1070184;1056228;1034707;1013050;991287;970610;951081;932588;913339;894687;874663
55-59;540966;559029;579169;600446;621371;641055;659618;676851;693448;710570;728869;748272;769240;790265;808985;824168;836092;844124;851439;862940;881535;906146;936576;970433;1003813;1034043;1061275;1085527;1105184;1118190;1123418;1120847;1109832;1093326;1075942;1060638;1048267;1040198;1035888;1034123;1033958;1035500;1039056;1042434;1042324;1036830;1023416;1002669;981824;960875;940969
60-64;442737;454823;466319;478064;491336;506826;524254;543642;564104;584237;603215;621155;637856;653982;670618;688385;707207;727525;747891;766075;780892;792618;800664;808050;819435;837583;861444;890822;923440;955598;984768;1011096;1034602;1053722;1066478;1071785;1069635;1059409;1043935;1027635;1013308;1001778;994326;990431;988960;988999;990661;994247;997642;997669;992516
65-69;344932;355542;367449;380090;392594;404527;416048;427066;438339;451038;465783;482319;500653;519974;539004;556975;573999;589899;605291;621173;638118;656056;675391;694770;712104;726288;737600;745499;752821;763906;781328;804072;831930;862790;893209;920852;945845;968216;986481;998757;1004027;1002288;992974;978752;963769;950640;940123;933387;929957;928779;928999
70-74;266611;273765;280122;286379;293549;302165;311963;322914;334520;346014;357024;367694;377966;388497;400318;413966;429206;446038;463746;481185;497682;513347;528032;542286;557011;572700;589297;607157;625046;641064;654219;664794;672327;679388;689913;706199;727286;752945;781262;809160;834559;857565;878214;895128;906568;911599;910245;902029;889379;876068;864466
75-79;181291;187248;194707;202871;210673;217604;223924;229639;235317;241769;249417;258051;267656;277810;287877;297558;306989;316133;325531;336040;348096;361483;376199;391636;406834;421238;434951;447861;460437;473443;487284;501915;517631;533359;547442;559047;568458;575301;581812;591376;605932;624592;647104;671828;696156;718354;738507;756644;771559;781698;786247
80-84;122714;123685;124751;126364;129022;132889;137828;143877;150434;156708;162324;167507;172284;177079;182485;188792;195856;203673;211909;220088;227978;235712;243264;251056;259734;269617;280520;292443;304904;317163;328802;339911;350422;360702;371359;382690;394652;407480;420289;431750;441215;448958;454713;460296;468399;480519;495874;514195;534181;553815;571763
85-89;65643;69934;72721;74578;75906;76989;78044;79183;80686;82875;85839;89493;93873;98574;103075;107137;110931;114495;118111;122152;126804;131965;137643;143609;149537;155275;160936;166512;172287;178695;185939;193877;202507;211486;220308;228695;236724;244361;251866;259665;267954;276691;286046;295356;303669;310537;316202;320510;324784;330935;339987
90+;47242;45536;45680;46797;48323;49910;51547;53271;54983;56623;58165;59737;61419;63310;65544;68139;71101;74488;78109;81745;85285;88862;92550;96405;100524;104933;109633;114667;119922;125268;130636;136117;141737;147603;153892;160665;167867;175498;183405;191385;199328;207277;215228;223273;231549;240103;248915;258076;267207;275808;283675
Homens;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Faixa/Ano;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050;2051;2052;2053;2054;2055;2056;2057;2058;2059;2060
Total;7022509;7049709;7075846;7099339;7121398;7144691;7166690;7188472;7211608;7233509;7254101;7273278;7290913;7306926;7321284;7333933;7344806;7353839;7361000;7366269;7369659;7370991;7370061;7366879;7361457;7353803;7343940;7331886;7317652;7301245;7282689;7262041;7239362;7214668;7187956;7159256;7128614;7096070;7061642;7025342;6987193;6947213;6905426;6861847;6816485;6769359;6720496;6669933;6617708;6563854;6508424
0-4;579001;568243;559442;549058;539080;533582;529044;525467;525960;526730;525049;523332;520398;514609;508512;502132;495519;488758;481881;474889;467859;460859;453919;447087;440397;433846;427453;421232;415170;409254;403490;397892;392477;387239;382174;377269;372509;367878;363358;358948;354621;350337;346056;341757;337423;333044;328610;324121;319580;314988;310363
05/set;631196;619165;607789;596020;584639;572562;561950;553286;543039;533188;527807;523386;519919;520511;521380;519801;518188;515360;509678;503690;497414;490899;484224;477421;470484;463494;456523;449608;442802;436141;429615;423243;417044;411006;405110;399367;393792;388393;383172;378126;373236;368488;363874;359368;354971;350657;346388;342120;337831;333510;329143
out/14;690972;681320;667284;653115;639020;625828;613909;602637;590974;579699;567728;557217;548648;538502;528753;523462;519127;515742;516409;517351;515848;514307;511541;505913;499972;493729;487237;480590;473813;466898;459932;452983;446090;439305;432666;426160;419805;413626;407610;401727;396001;390443;385057;379849;374816;369940;365204;360603;356108;351723;347420
15-19;677584;677820;679248;680510;679604;675357;665983;652275;638452;624715;611864;600258;589280;577930;566968;555306;545087;536790;526932;517464;512429;508306;505093;505862;506868;505428;503936;501222;495673;489812;483645;477232;470661;463959;457114;450220;443342;436517;429798;423228;416783;410487;404365;398402;392571;386891;381384;376043;370879;365889;361053
20-24;656004;647084;641164;637846;636353;636073;636921;638942;640807;640526;636955;628333;615447;602447;589529;577481;566643;556416;545820;535606;524689;515124;507322;497872;488718;483874;479899;476818;477665;478745;477404;476005;473399;467990;462264;456238;449961;443526;436956;430243;423479;416726;410023;403423;396967;390632;384439;378417;372548;366811;361223
25-29;651338;647366;639016;627906;616549;606526;598501;593421;590893;590157;590611;592173;594884;597444;597896;595116;587367;575414;563344;551348;540197;530185;520668;510667;500917;490344;481024;473435;464220;455283;450598;446762;443806;444726;445875;444629;443330;440829;435558;429971;424086;417945;411645;405213;398630;391996;385371;378790;372310;365968;359743
30-34;580774;593557;604415;612608;617228;617818;614400;606691;596276;585613;576255;568857;564344;562332;562079;562993;564992;568126;571107;572015;569746;562558;551182;539623;528055;517235;507481;498208;488457;478946;468613;459512;452110;443102;434364;429819;426108;423265;424246;425448;424283;423065;420655;415504;410040;404277;398258;392080;385769;379305;372787
35-39;484645;496421;511478;528420;544975;559614;572419;583348;591668;596499;597384;594332;587076;577160;566997;558109;551140;546996;545303;545331;546507;548743;552070;555224;556308;554221;547272;536196;524929;513651;503098;493590;484551;475030;465742;455642;446749;439526;430712;422165;417750;414155;411413;412443;413690;412595;411450;409123;404086;398740;393092
40-44;445460;450536;453370;455726;460321;468752;480461;495378;512145;528542;543072;555822;566742;575117;580079;581176;578421;571544;562058;552328;543838;537218;533350;531871;532064;533366;535696;539093;542322;543512;541581;534860;524082;513114;502129;491850;482588;473779;464500;455443;445579;436893;429853;421244;412887;408605;405123;402481;403555;404838;403812
45-49;383468;392854;402964;413023;421812;428710;433816;436759;439252;443929;452343;463941;478657;495167;511321;525676;538304;549158;557541;562602;563887;561415;554917;545867;536569;528466;522176;518565;517279;517621;519042;521464;524927;528219;529510;527734;521263;510820;500202;489567;479618;470647;462102;453102;444320;434738;426299;419469;411095;402969;398842
50-54;322473;331670;340141;348217;356462;365186;374372;384267;394119;402759;409583;414698;417745;420374;425114;433456;444870;459281;475417;491213;505290;517700;528408;536729;541832;543279;541092;535010;526455;517658;510015;504125;500816;499749;500252;501796;504303;507821;511164;512553;510951;504784;494765;484586;474388;464844;456230;448018;439369;430927;421696
55-59;255676;263891;273336;283482;293505;302906;311752;319930;327751;335745;344206;353113;362702;372254;380658;387345;392421;395541;398281;403040;411238;422355;436308;451903;467175;480815;492875;503319;511485;516576;518172;516288;510681;502719;494523;487428;482004;479038;478208;478870;480531;483108;486650;490017;491497;490090;484281;474772;465133;455475;446440
60-64;209055;214115;218643;223186;228553;235192;242946;251845;261400;270848;279730;288116;295898;303366;311006;319094;327602;336755;345874;353928;360378;365332;368475;371281;375988;383923;394584;407892;422724;437254;450261;461797;471824;479717;484718;486425;484861;479795;472515;465025;458567;453682;451100;450512;451328;453076;455680;459196;462535;464072;462859
