Roraima;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dados;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ano;População total;Homens;Mulheres;Nascimentos;Óbitos;Taxa de Crescimento Geométrico;Taxa Bruta de Natalidade;Taxa Bruta de Mortalidade;Esperança de Vida ao Nascer;Esperança de Vida ao Nascer - Homens;Esperança de Vida ao Nascer - Mulheres;Taxa de Mortalidade Infantil;Taxa de Mortalidade Infantil - Homens;Taxa de Mortalidade Infantil - Mulheres;Taxa de Fecundidade Total;Razão de Dependência - Jovens 0 a 14 anos;Razão de Dependência - Idosos 65 ou mais anos;Razão de Dependência;Índice de Envelhecimento;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2010;458820;233153;225667;10370;2531;x;22.6;5.52;69.49;66.9;72.52;18.37;18.22;18.54;2.48;53.05;5.45;58.5;10.15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011;469543;238427;231116;10569;2545;2.34;22.51;5.42;69.87;67.3;72.83;18.16;17.98;18.35;2.46;51.55;5.51;57.05;10.67;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012;480290;243716;236574;10539;2568;2.29;21.94;5.35;70.22;67.69;73.14;17.96;17.76;18.17;2.4;50.03;5.59;55.62;11.18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;491066;249023;242043;10765;2597;2.24;21.92;5.29;70.57;68.06;73.44;17.76;17.55;17.99;2.39;48.57;5.69;54.26;11.75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014;501970;254398;247572;10941;2630;2.22;21.8;5.24;70.9;68.43;73.73;17.57;17.35;17.8;2.38;47.28;5.82;53.09;12.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;513328;260066;253262;10822;2665;2.26;21.08;5.19;71.22;68.78;74.02;17.39;17.16;17.62;2.3;46.09;5.96;52.05;12.87;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016;525967;266538;259429;11173;2713;2.46;21.24;5.16;71.53;69.12;74.3;17.2;16.97;17.45;2.33;44.95;6.1;51.05;13.42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017;546885;278190;268695;11602;2799;3.98;21.21;5.12;71.84;69.45;74.57;17.02;16.78;17.27;2.34;43.42;6.18;49.59;14.14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2018;576568;295323;281245;11994;2921;5.43;20.8;5.07;72.13;69.76;74.83;16.84;16.6;17.09;2.31;41.47;6.18;47.64;14.95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019;605761;312110;293651;12349;3045;5.06;20.39;5.03;72.41;70.06;75.09;16.66;16.42;16.92;2.28;39.76;6.21;45.97;15.81;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;631181;326495;304686;12564;3154;4.2;19.91;5;72.69;70.36;75.34;16.49;16.25;16.74;2.25;38.71;6.32;45.02;16.48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;652713;338422;314291;12666;3252;3.41;19.41;4.98;72.95;70.64;75.58;16.32;16.08;16.57;2.22;38.04;6.48;44.53;17.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2022;670267;347847;322420;12678;3338;2.69;18.91;4.98;73.21;70.9;75.82;16.15;15.9;16.4;2.2;37.55;6.69;44.25;17.69;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023;683769;354735;329034;12608;3415;2.01;18.44;4.99;73.46;71.16;76.04;15.98;15.73;16.23;2.18;37.22;6.96;44.18;18.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024;695116;360288;334828;12505;3492;1.66;17.99;5.02;73.69;71.41;76.27;15.81;15.57;16.06;2.16;36.97;7.27;44.24;19.53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2025;706235;365723;340512;12392;3571;1.6;17.55;5.06;73.93;71.64;76.48;15.64;15.4;15.9;2.14;36.73;7.59;44.32;20.78;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2026;717117;371035;346082;12280;3656;1.54;17.12;5.1;74.15;71.87;76.69;15.48;15.23;15.73;2.12;36.47;7.93;44.4;21.74;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2027;727762;376223;351539;12179;3747;1.48;16.73;5.15;74.36;72.08;76.89;15.31;15.07;15.57;2.1;36.18;8.28;44.46;22.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2028;738175;381290;356885;12090;3845;1.43;16.38;5.21;74.56;72.29;77.09;15.15;14.91;15.41;2.09;35.87;8.64;44.51;24.19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2029;748361;386237;362124;12011;3948;1.38;16.05;5.28;74.76;72.49;77.28;14.99;14.75;15.25;2.07;35.51;9;44.51;25.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2030;758323;391066;367257;11937;4054;1.33;15.74;5.35;74.95;72.67;77.46;14.84;14.59;15.09;2.06;35.14;9.37;44.51;26.75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2031;768085;395789;372296;11871;4167;1.29;15.46;5.43;75.13;72.85;77.64;14.67;14.43;14.93;2.05;34.76;9.73;44.49;27.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2032;777675;400420;377255;11823;4285;1.25;15.2;5.51;75.31;73.02;77.82;14.52;14.27;14.77;2.04;34.31;10.09;44.4;29.41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2033;787104;404965;382139;11793;4411;1.21;14.98;5.6;75.47;73.18;77.98;14.36;14.12;14.62;2.03;33.79;10.47;44.27;31.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2034;796382;409429;386953;11778;4542;1.18;14.79;5.7;75.63;73.34;78.14;14.21;13.96;14.46;2.02;33.25;10.87;44.12;32.47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2035;805521;413818;391703;11784;4680;1.15;14.63;5.81;75.79;73.48;78.3;14.06;13.81;14.31;2.01;32.7;11.28;43.98;34.36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2036;814531;418136;396395;11801;4823;1.12;14.49;5.92;75.93;73.62;78.45;13.91;13.66;14.16;2.01;32.16;11.7;43.86;36.16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2037;823417;422386;401031;11827;4972;1.09;14.36;6.04;76.07;73.75;78.59;13.75;13.51;14.01;2;31.64;12.13;43.78;38.18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2038;832179;426567;405612;11858;5128;1.06;14.25;6.16;76.2;73.88;78.73;13.61;13.36;13.86;2;31.17;12.59;43.76;40.55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2039;840814;430677;410137;11891;5290;1.04;14.14;6.29;76.33;74;78.87;13.46;13.22;13.72;1.99;30.76;13.07;43.83;42.52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2040;849324;434718;414606;11939;5457;1.01;14.06;6.43;76.46;74.11;79;13.32;13.07;13.57;1.99;30.4;13.6;43.99;44.55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2041;857716;438692;419024;11992;5627;0.99;13.98;6.56;76.58;74.22;79.13;13.17;12.93;13.43;1.98;30.1;14.15;44.25;46.89;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2042;865988;442598;423390;12043;5803;0.96;13.91;6.7;76.69;74.32;79.25;13.03;12.78;13.28;1.98;29.85;14.74;44.59;49.51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2043;874130;446431;427699;12089;5983;0.94;13.83;6.84;76.79;74.41;79.37;12.89;12.64;13.14;1.97;29.66;15.37;45.03;51.96;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2044;882130;450185;431945;12125;6170;0.92;13.75;6.99;76.9;74.5;79.48;12.75;12.5;13;1.97;29.51;16.05;45.56;54.19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2045;889982;453857;436125;12169;6359;0.89;13.67;7.15;76.99;74.59;79.59;12.61;12.36;12.86;1.97;29.41;16.77;46.18;57.21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2046;897687;457448;440239;12211;6551;0.87;13.6;7.3;77.09;74.67;79.69;12.47;12.23;12.73;1.96;29.35;17.53;46.87;59.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2047;905234;460952;444282;12242;6747;0.84;13.52;7.45;77.17;74.75;79.79;12.34;12.09;12.59;1.96;29.32;18.32;47.64;62.31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2048;912607;464360;448247;12262;6948;0.81;13.44;7.61;77.26;74.82;79.89;12.2;11.95;12.45;1.96;29.32;19.15;48.48;65.48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2049;919792;467665;452127;12273;7153;0.79;13.34;7.78;77.34;74.89;79.98;12.06;11.82;12.32;1.96;29.35;20;49.35;68.37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2050;926782;470863;455919;12284;7361;0.76;13.25;7.94;77.42;74.96;80.08;11.94;11.69;12.19;1.96;29.38;20.84;50.21;70.92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2051;933572;473951;459621;12289;7571;0.73;13.16;8.11;77.5;75.02;80.16;11.8;11.56;12.06;1.95;29.42;21.66;51.08;73.33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2052;940153;476925;463228;12288;7781;0.7;13.07;8.28;77.57;75.08;80.25;11.67;11.43;11.93;1.95;29.45;22.47;51.93;76.29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2053;946517;479781;466736;12280;7999;0.68;12.97;8.45;77.64;75.13;80.33;11.55;11.3;11.8;1.95;29.5;23.3;52.8;79.27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2054;952651;482512;470139;12268;8220;0.65;12.88;8.63;77.7;75.18;80.4;11.42;11.17;11.67;1.95;29.55;24.17;53.72;81.77;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2055;958552;485117;473435;12256;8440;0.62;12.79;8.8;77.76;75.23;80.48;11.29;11.05;11.55;1.95;29.61;25.07;54.68;84.82;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2056;964221;487597;476624;12244;8661;0.59;12.7;8.98;77.82;75.28;80.55;11.16;10.92;11.42;1.95;29.67;25.98;55.66;87.43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2057;969655;489951;479704;12230;8883;0.56;12.61;9.16;77.88;75.32;80.62;11.05;10.8;11.3;1.95;29.73;26.89;56.62;90.53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2058;974850;492176;482674;12215;9109;0.54;12.53;9.34;77.94;75.37;80.69;10.92;10.67;11.17;1.95;29.77;27.75;57.52;93.12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2059;979802;494271;485531;12200;9340;0.51;12.45;9.53;77.98;75.41;80.75;10.8;10.55;11.05;1.95;29.8;28.55;58.34;95.74;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2060;984511;496237;488274;12188;9569;0.48;12.38;9.72;78.03;75.44;80.81;10.68;10.43;10.93;1.95;29.81;29.31;59.12;98.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Faixas etárias;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Total;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Faixa/Ano;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050;2051;2052;2053;2054;2055;2056;2057;2058;2059;2060
Total;458820;469543;480290;491066;501970;513328;525967;546885;576568;605761;631181;652713;670267;683769;695116;706235;717117;727762;738175;748361;758323;768085;777675;787104;796382;805521;814531;823417;832179;840814;849324;857716;865988;874130;882130;889982;897687;905234;912607;919792;926782;933572;940153;946517;952651;958552;964221;969655;974850;979802;984511
0-4;50711;51445;51852;52087;52447;52931;53503;54616;56192;57800;59429;60910;61906;62428;62562;62407;62060;61603;61110;60611;60147;59726;59359;59043;58793;58613;58514;58491;58535;58632;58777;58955;59165;59393;59633;59867;60099;60313;60505;60673;60810;60914;60987;61024;61038;61028;61001;60959;60902;60847;60787
05/set;50303;49830;50119;50663;50893;51490;52265;52953;53732;54614;55499;56319;57306;58374;59423;60616;61779;62583;63026;63153;62988;62630;62163;61667;61167;60701;60281;59918;59604;59355;59175;59080;59059;59103;59199;59349;59527;59737;59965;60204;60438;60670;60883;61081;61248;61387;61489;61562;61603;61614;61606
out/14;52543;52840;52446;51865;51676;51195;50739;51160;52010;52601;53536;54588;55284;55714;56181;56716;57268;58073;59072;60106;61285;62434;63231;63669;63792;63632;63273;62808;62311;61814;61347;60929;60565;60255;60007;59828;59732;59713;59757;59854;60005;60184;60393;60621;60859;61093;61329;61541;61737;61906;62043
15-19;47558;48825;50264;51686;52818;53511;53840;53691;53545;53712;53438;53040;53275;53752;53984;54652;55519;56106;56491;56941;57457;57997;58788;59779;60805;61983;63134;63930;64371;64496;64339;63982;63520;63025;62532;62067;61652;61291;60984;60738;60560;60466;60447;60492;60592;60744;60919;61129;61360;61600;61833
20-24;44147;44926;45829;46845;47943;49159;50625;53361;56903;59600;60916;61022;59760;58012;56768;55559;54605;54569;54968;55176;55816;56658;57228;57603;58054;58569;59112;59903;60894;61918;63096;64243;65043;65486;65612;65460;65108;64652;64162;63675;63219;62805;62450;62145;61904;61729;61638;61622;61667;61765;61922
25-29;43713;44472;44892;45138;45469;46164;47303;50407;55310;59768;63061;65306;66645;66894;66310;65203;63674;61489;59450;58195;56968;55997;55945;56332;56530;57168;58013;58583;58964;59419;59935;60482;61271;62260;63283;64459;65605;66404;66847;66975;66826;66484;66033;65549;65067;64617;64210;63858;63560;63321;63148
30-34;37446;39163;40888;42517;43895;45032;46088;48203;51815;55632;59214;62404;65072;66702;67482;67828;67904;67901;67678;67087;65978;64454;62282;60265;59024;57815;56863;56822;57215;57419;58060;58904;59475;59861;60317;60836;61381;62171;63160;64181;65355;66493;67289;67734;67865;67722;67385;66939;66458;65985;65544
35-39;30110;31497;33049;34718;36430;38186;40091;42992;46987;50842;54063;56626;58464;59745;60915;62367;63980;65662;66941;67710;68049;68118;68117;67897;67322;66241;64742;62609;60621;59407;58212;57281;57246;57644;57853;58494;59336;59906;60293;60750;61265;61813;62603;63588;64604;65769;66905;67698;68144;68277;68134
40-44;25614;26410;27226;28112;29135;30381;31902;34266;37579;41007;44208;47152;49847;52197;54200;55923;57380;58532;59571;60727;62165;63764;65432;66700;67474;67814;67899;67908;67704;67139;66085;64609;62510;60549;59359;58181;57268;57238;57638;57849;58491;59329;59898;60283;60741;61255;61798;62585;63563;64576;65732
45-49;21781;22516;23226;23922;24637;25421;26328;27778;29910;32196;34456;36671;38822;40908;42972;45086;47224;49411;51570;53548;55250;56692;57832;58863;60011;61446;63028;64685;65945;66721;67066;67161;67183;66990;66442;65412;63966;61907;59983;58820;57665;56769;56748;57149;57362;58001;58830;59396;59781;60232;60747
50-54;17124;17943;18787;19635;20449;21226;22008;23034;24412;25920;27439;28952;30397;31767;33146;34647;36277;38037;39958;41980;44052;46151;48294;50417;52360;54031;55457;56581;57601;58737;60159;61721;63352;64599;65367;65718;65821;65856;65680;65156;64157;62752;60746;58876;57751;56628;55757;55744;56144;56360;56990
55-59;12801;13476;14176;14900;15656;16441;17277;18317;19582;20829;21951;22971;23910;24833;25830;26930;28126;29362;30637;31977;33438;35016;36727;38593;40559;42574;44618;46700;48766;50661;52284;53674;54775;55777;56891;58282;59811;61402;62621;63374;63727;63840;63890;63731;63232;62279;60929;58998;57200;56123;55046
60-64;9182;9741;10298;10867;11452;12078;12744;13531;14473;15470;16481;17482;18477;19427;20315;21144;21935;22717;23562;24523;25577;26728;27914;29137;30427;31832;33344;34988;36778;38663;40596;42558;44553;46536;48358;49916;51253;52316;53285;54364;55707;57185;58711;59889;60621;60964;61088;61149;61007;60544;59641
65-69;6082;6461;6903;7387;7895;8410;8939;9520;10191;10886;11602;12320;13041;13784;14557;15371;16214;17084;17953;18783;19566;20311;21049;21849;22754;23750;24833;25953;27101;28317;29642;31064;32612;34290;36062;37877;39723;41595;43459;45171;46637;47893;48898;49814;50840;52112;53509;54947;56058;56748;57073
70-74;4210;4372;4533;4714;4938;5226;5574;6006;6506;7040;7566;8094;8615;9142;9686;10259;10853;11474;12130;12832;13563;14323;15110;15894;16647;17360;18041;18709;19445;20270;21178;22162;23179;24224;25330;26537;27827;29231;30750;32358;34004;35675;37369;39062;40609;41938;43073;43981;44816;45757;46925
75-79;2606;2713;2852;3004;3157;3301;3447;3604;3796;4025;4305;4632;4995;5385;5792;6206;6629;7058;7505;7973;8464;8975;9509;10074;10676;11301;11951;12627;13300;13949;14561;15150;15730;16368;17082;17871;18719;19597;20500;21455;22497;23609;24820;26123;27510;28925;30361;31821;33274;34604;35741
80-84;1604;1616;1633;1666;1716;1786;1872;1988;2122;2259;2386;2508;2635;2776;2942;3151;3393;3668;3966;4278;4602;4928;5261;5611;5981;6367;6769;7193;7636;8111;8604;9112;9638;10167;10679;11157;11623;12082;12593;13160;13787;14461;15151;15869;16625;17453;18336;19288;20319;21409;22527
85-89;820;859;883;898;910;924;941;961;992;1032;1087;1152;1233;1319;1410;1491;1576;1657;1756;1871;2012;2179;2363;2565;2772;2993;3217;3443;3686;3940;4208;4487;4782;5088;5414;5756;6104;6466;6829;7187;7515;7837;8161;8518;8918;9357;9825;10308;10809;11340;11917
90+;465;438;434;442;454;466;481;497;511;528;544;564;583;610;641;679;721;776;831;890;946;1004;1071;1146;1234;1331;1442;1566;1702;1846;2000;2162;2330;2515;2710;2915;3132;3357;3596;3848;4117;4393;4676;4969;5265;5551;5839;6130;6448;6794;7155
Homens;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Faixa/Ano;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050;2051;2052;2053;2054;2055;2056;2057;2058;2059;2060
Total;233153;238427;243716;249023;254398;260066;266538;278190;295323;312110;326495;338422;347847;354735;360288;365723;371035;376223;381290;386237;391066;395789;400420;404965;409429;413818;418136;422386;426567;430677;434718;438692;442598;446431;450185;453857;457448;460952;464360;467665;470863;473951;476925;479781;482512;485117;487597;489951;492176;494271;496237
0-4;25967;26336;26539;26656;26838;27085;27379;27951;28762;29585;30420;31180;31690;31957;32026;31947;31770;31536;31283;31028;30791;30576;30388;30226;30098;30006;29956;29944;29967;30017;30090;30181;30290;30407;30530;30649;30768;30878;30975;31062;31133;31186;31224;31242;31250;31244;31231;31209;31181;31152;31122
05/set;25721;25465;25600;25866;25975;26273;26667;27025;27433;27898;28355;28774;29274;29817;30345;30954;31549;31962;32190;32256;32173;31991;31754;31500;31246;31008;30792;30608;30446;30319;30228;30180;30168;30191;30240;30317;30408;30517;30635;30756;30875;30994;31102;31203;31290;31362;31414;31452;31471;31478;31472
out/14;26642;26843;26689;26433;26364;26129;25881;26070;26479;26764;27243;27797;28178;28416;28671;28945;29225;29627;30135;30656;31258;31848;32258;32484;32546;32468;32285;32048;31795;31542;31303;31088;30904;30744;30619;30528;30480;30468;30490;30540;30617;30710;30818;30936;31055;31175;31296;31404;31504;31592;31663
15-19;24025;24680;25417;26145;26736;27117;27330;27289;27230;27321;27174;26944;27043;27284;27413;27776;28249;28583;28800;29047;29312;29584;29977;30482;31001;31600;32191;32601;32828;32891;32816;32635;32399;32148;31897;31659;31446;31264;31107;30984;30893;30845;30835;30857;30909;30987;31077;31185;31305;31425;31545
20-24;22094;22515;22999;23540;24118;24765;25562;27193;29362;30984;31733;31726;30895;29780;28967;28238;27679;27628;27832;27951;28298;28760;29086;29297;29545;29811;30086;30478;30983;31501;32099;32687;33100;33327;33392;33319;33143;32911;32663;32416;32184;31972;31794;31640;31520;31430;31383;31375;31398;31449;31530
25-29;21656;22055;22294;22453;22655;23051;23704;25572;28581;31334;33377;34768;35572;35625;35112;34272;33180;31735;30430;29614;28883;28317;28259;28459;28572;28918;29383;29708;29922;30172;30440;30716;31106;31610;32126;32725;33309;33721;33949;34015;33944;33774;33545;33300;33057;32829;32622;32448;32296;32178;32088
30-34;18548;19369;20201;20994;21674;22266;22870;24274;26693;29179;31403;33294;34789;35644;36013;36165;36180;36141;35906;35396;34561;33479;32052;30765;29964;29248;28694;28644;28849;28967;29314;29777;30103;30320;30570;30838;31114;31505;32008;32522;33119;33697;34107;34336;34403;34335;34169;33943;33701;33463;33240
35-39;15091;15723;16445;17232;18042;18885;19833;21437;23807;26154;28172;29827;31075;31924;32616;33390;34204;35026;35640;36005;36156;36171;36136;35909;35413;34600;33540;32146;30883;30101;29397;28859;28813;29021;29142;29489;29950;30275;30493;30744;31009;31287;31676;32176;32686;33277;33853;34260;34490;34558;34491
40-44;13197;13564;13916;14286;14722;15282;16002;17268;19143;21087;22877;24499;25954;27232;28356;29386;30313;31109;31799;32481;33245;34050;34862;35469;35839;35993;36019;35990;35775;35289;34496;33456;32086;30843;30080;29386;28861;28818;29027;29149;29497;29954;30278;30494;30745;31010;31284;31670;32164;32672;33258
45-49;11276;11634;11992;12347;12707;13089;13527;14264;15406;16641;17867;19065;20226;21326;22392;23480;24575;25694;26844;27952;28967;29880;30667;31348;32023;32784;33579;34384;34986;35357;35516;35549;35529;35323;34847;34075;33056;31716;30500;29754;29076;28563;28526;28735;28858;29201;29653;29974;30190;30436;30699
50-54;8939;9337;9745;10154;10544;10921;11309;11871;12657;13510;14335;15131;15848;16516;17196;17957;18797;19723;20723;21762;22822;23895;24985;26114;27199;28190;29090;29864;30533;31199;31949;32730;33521;34116;34484;34645;34684;34671;34477;34020;33271;32283;30982;29803;29084;28429;27931;27899;28106;28230;28567
55-59;6801;7105;7427;7766;8127;8507;8917;9448;10119;10782;11385;11932;12446;12944;13470;14028;14624;15207;15817;16474;17212;18020;18916;19881;20884;21909;22948;23999;25094;26145;27103;27976;28727;29378;30027;30757;31516;32285;32862;33220;33382;33427;33421;33242;32803;32087;31140;29895;28766;28079;27455
60-64;5002;5277;5536;5790;6049;6327;6627;6979;7409;7893;8405;8930;9463;9975;10447;10887;11303;11725;12174;12680;13212;13783;14340;14922;15551;16256;17026;17882;18799;19757;20732;21722;22723;23766;24770;25683;26517;27233;27855;28479;29178;29905;30638;31189;31535;31691;31740;31737;31571;31159;30480
65-69;3254;3466;3716;3988;4264;4530;4789;5053;5342;5635;5940;6250;6571;6926;7322;7754;8211;8685;9157;9594;10007;10396;10791;11212;11685;12186;12717;13240;13783;14370;15030;15748;16548;17400;18293;19200;20124;21057;22029;22963;23813;24589;25257;25837;26422;27078;27757;28440;28954;29274;29419
70-74;2226;2296;2367;2453;2568;2722;2912;3134;3381;3644;3899;4153;4399;4639;4880;5132;5393;5671;5980;6337;6719;7125;7547;7965;8356;8724;9074;9425;9805;10230;10679;11155;11618;12105;12629;13221;13860;14573;15331;16127;16935;17754;18582;19449;20279;21033;21723;22314;22831;23356;23945
75-79;1350;1401;1466;1535;1603;1668;1731;1801;1886;1988;2117;2275;2451;2650;2861;3069;3278;3484;3687;3890;4102;4321;4554;4816;5113;5432;5770;6121;6472;6798;7106;7398;7696;8016;8374;8752;9151;9537;9945;10383;10881;11416;12013;12643;13308;13983;14664;15357;16078;16772;17400
80-84;773;773;779;794;818;850;889;940;996;1055;1109;1161;1219;1282;1355;1449;1561;1687;1833;1986;2141;2294;2446;2596;2748;2907;3071;3247;3441;3663;3902;4153;4411;4672;4914;5142;5359;5582;5826;6096;6378;6677;6961;7267;7596;7969;8371;8813;9283;9776;10277
85-89;383;391;395;398;399;402;408;417;429;444;467;492;524;558;596;630;666;703;742;789;847;919;996;1087;1182;1277;1372;1467;1563;1660;1761;1865;1977;2100;2239;2392;2549;2712;2876;3031;3173;3311;3454;3611;3784;3964;4152;4332;4526;4736;4974
90+;208;197;193;193;195;197;201;204;208;212;217;224;230;240;250;264;278;297;318;339;360;380;406;433;464;501;543;590;643;699;757;817;879;944;1012;1080;1153;1229;1312;1404;1505;1607;1712;1821;1928;2033;2137;2244;2361;2486;2612
